,CompanyName,Title,location,duration,salary,No_of_applied,Total_postings,Total_hired,Started_since
449,Shaavi Professional Pvt Ltd,Accounting & Bookkeeping,"Delhi, North West, South",5 Months,"₹ 5,000 - 10,000 /month",87 applicants,2 opportunities posted,N/A,Hiring since September 2023
450,Indika AI Private Limited,Computer Vision,"Delhi, Noida",2 Months,"₹ 8,000 - 12,000 /month",809 applicants,620 opportunities posted,601 candidates hired,Hiring since October 2021
451,Solvitude,ALT TEXT Writer (Life Sciences),Work from home,3 Months,"₹ 5,000 - 15,000 /month",260 applicants,370 opportunities posted,84 candidates hired,Hiring since April 2023
452,Solvitude,ALT TEXT Writer (Mechanical Engineering),Work from home,3 Months,"₹ 6,000 - 15,000 /month",113 applicants,370 opportunities posted,84 candidates hired,Hiring since April 2023
453,Solvitude,ALT TEXT Writer (Engineering),Work from home,3 Months,"₹ 8,000 - 15,000 /month",48 applicants,370 opportunities posted,84 candidates hired,Hiring since April 2023
454,Solvitude,Alt Text Writer,Work from home,3 Months,"₹ 8,000 - 15,000 /month",132 applicants,370 opportunities posted,84 candidates hired,Hiring since April 2023
455,Countai Private Limited,Computer Vision,Coimbatore,6 Months,"₹ 10,000 /month",292 applicants,48 opportunities posted,22 candidates hired,Hiring since April 2023
456,Bipolar Factory,AI,Work from home,3 Months,"₹ 20,000 - 30,000 /month",1000+ applicants,10 opportunities posted,2 candidates hired,Hiring since November 2022
457,Anubrain Technology Private Limited,Machine Learning,Work from home,3 Months,"₹ 3,000 - 5,000 /month",1000+ applicants,46 opportunities posted,5 candidates hired,Hiring since March 2022
458,ADOBE,Research,Bangalore,2 Months,Not provided,Be an early applicant,N/A,N/A,N/A
459,Vedapath,UI/UX Design,"Delhi, Bangalore                                                    (Hybrid)",3 Months,"₹ 5,000 - 20,000 /month",Be an early applicant,2 opportunities posted,N/A,Hiring since January 2025
461,Orufy Technologies Private Limited,UI/UX Design,Jaipur,6 Months,"₹ 8,000 - 10,000 /month",38 applicants,65 opportunities posted,17 candidates hired,Hiring since June 2022
462,Rentkar-Switch To Share,UI/UX Design,Mumbai,3 Months,"₹ 10,000 - 12,000 /month",65 applicants,1256 opportunities posted,39 candidates hired,Hiring since October 2019
463,InstaWeb Labs Private Limited,Graphic Design,Mumbai,6 Months,"₹ 10,000 - 35,000 /month",54 applicants,253 opportunities posted,43 candidates hired,Hiring since May 2017
464,Grexa AI Private Limited,UI/UX Design,"Palghar, Thane, Navi Mumbai, Mumbai, Virar, Vasai, Vasai-Virar                                                    (Hybrid)",3 Months,"₹ 10,000 - 15,000 /month",111 applicants,57 opportunities posted,30 candidates hired,Hiring since April 2024
465,Webpulse Solution Private Limited,Graphic Design,Delhi,6 Months,"₹ 5,001 - 10,002 /month",84 applicants,73 opportunities posted,6 candidates hired,Hiring since October 2020
466,Shri Ram Bharat Enterprise,Graphic Design,Greater Noida West,3 Months,"₹ 9,500 - 34,000 /month",Be an early applicant,2 opportunities posted,N/A,Hiring since April 2025
467,Eduminatti,UI/UX Design,Dehradun,2 Months,"₹ 5,000 - 7,000 /month",Be an early applicant,1525 opportunities posted,15 candidates hired,Hiring since February 2022
468,Qrata,Product Design,Mumbai,6 Months,"₹ 8,000 - 10,000 /month",103 applicants,263 opportunities posted,32 candidates hired,Hiring since May 2017
469,KathaVersse Media Network Private Limited,Graphic Design,Mumbai,3 Months,"₹ 10,000 - 10,001 /month",38 applicants,29 opportunities posted,6 candidates hired,Hiring since November 2023
470,Anuschka Leather-India Private Limited,Graphic Design,Kolkata,3 Months,"₹ 7,000 - 10,000 /month",71 applicants,11 opportunities posted,N/A,Hiring since May 2025
471,Khilonamart,Content Curation/Graphic Design,Indore                                                    (Hybrid),6 Months,"₹ 5,000 - 7,000 /month",43 applicants,4 opportunities posted,1 candidate hired,Hiring since April 2025
472,Travel Lykke Private Limited,Graphic Design,Jaipur,6 Months,"₹ 10,000 - 12,000 /month",71 applicants,17 opportunities posted,5 candidates hired,Hiring since February 2025
473,International Institute Of SDGs & Public Policy Research,Figma,Work from home,3 Months,Unpaid,Be an early applicant,303 opportunities posted,1499 candidates hired,Hiring since August 2021
475,Deep Holistics,Product Design,Work from home,3 Months,"₹ 20,000 /month",Be an early applicant,1 opportunity posted,N/A,Hiring since May 2025
476,InAmigos Foundation,Graphic Design,Work from home,2 Weeks,"₹ 1,500 - 3,500 /month",Be an early applicant,1110 opportunities posted,127594 candidates hired,Hiring since June 2021
477,Provost Contrives,Graphic Design,Work from home,6 Months,"₹ 2,001 - 5,002 /month",Be an early applicant,1 opportunity posted,N/A,Hiring since May 2025
478,Mierae Solar Energy Private Limited,Graphic Design,Work from home,6 Months,"₹ 3,000 - 3,001 /month",205 applicants,4 opportunities posted,N/A,Hiring since January 2025
479,Benchmate App,UI/UX Design,Mangalore,6 Months,"₹ 5,000 - 10,000 /month",Be an early applicant,5 opportunities posted,N/A,Hiring since December 2024
481,Limited Edt,Graphic Design,Delhi,6 Months,"₹ 20,000 - 25,000 /month",50 applicants,6 opportunities posted,N/A,Hiring since December 2024
482,Bunny Bash Events & Rentals,Graphic Design,Work from home,2 Months,"₹ 7,000 - 12,000 /month",687 applicants,267 opportunities posted,53 candidates hired,Hiring since October 2016
484,Genesis Envision,Graphic Design,Work from home,6 Months,"₹ 5,000 - 10,000 /month",291 applicants,10 opportunities posted,2 candidates hired,Hiring since March 2024
485,Ojal Digitals,Graphic Design,Delhi                                                    (Hybrid),2 Months,"₹ 5,000 - 10,000 /month",56 applicants,1 opportunity posted,N/A,Hiring since May 2025
486,Lawtech,IPad Artist/ Illustrator From NIFT,Work from home,3 Months,"₹ 6,000 - 8,000 /month",Be an early applicant,942 opportunities posted,6 candidates hired,Hiring since July 2022
487,Lawtech,Creative Artist From NIFT,Work from home,3 Months,"₹ 6,000 - 8,000 /month",72 applicants,942 opportunities posted,6 candidates hired,Hiring since July 2022
488,Ridvig Technologies,UI/UX Design,Work from home,1 Month,"₹ 1,000 /month",225 applicants,131 opportunities posted,67 candidates hired,Hiring since July 2020
491,AppVersal,UI/UX Designer,"Delhi, Noida                                                    (Hybrid)",4 Months,"₹ 10,000 - 15,000 /month",152 applicants,343 opportunities posted,49 candidates hired,Hiring since May 2015
492,Lawtech,Project Coordinator For SSC And Banking,Work from home,4 Months,"₹ 6,000 - 8,000 /month",76 applicants,942 opportunities posted,6 candidates hired,Hiring since July 2022
495,MentorBoxx,Graphic Design,"Ahmedabad, Akola, Aurangabad, Pune, Amravati, Ahmednagar, Mumbai, Pimpri-Chinchwad, Baramati, Nagpur, Nashik",2 Months,"₹ 10,000 /month",130 applicants,1720 opportunities posted,13 candidates hired,Hiring since April 2021
496,iGuru Training Solutions,UI/UX Design,Hyderabad,3 Months,"₹ 5,000 - 10,000 /month",254 applicants,12 opportunities posted,N/A,Hiring since November 2023
497,RevoltronX,Graphic Design,Work from home,6 Months,"₹ 2,000 - 5,000 /month",205 applicants,24 opportunities posted,19 candidates hired,Hiring since July 2024
513,GamutX,"Full Stack Developer With GenAI Experience (Lovable, v0)",Work from home,3 Months,"₹ 15,000 /month",932 applicants,4 opportunities posted,1 candidate hired,Hiring since September 2024
517,DeepThought Edutech Ventures Private Limited,LLM (Large Language Model) Training,Work from home,6 Months,"₹ 2,000 /month",290 applicants,1771 opportunities posted,440 candidates hired,Hiring since March 2020
519,HeyCloudy,Artificial Intelligence (AI),Work from home,3 Months,"₹ 2,000 /month",313 applicants,86 opportunities posted,26 candidates hired,Hiring since June 2018
522,ReportsInsights Consulting Pvt Ltd,Market Research,Pune,6 Months,"₹ 7,000 - 7,001 /month",69 applicants,124 opportunities posted,51 candidates hired,Hiring since March 2020
526,Tcules UX Studio,AI-first Experience Design,Ahmedabad,6 Months,"₹ 10,000 - 25,000 /month",59 applicants,4 opportunities posted,N/A,Hiring since September 2024
527,AffinityAnswers,Full Stack AI Engineer - Intern,Work from home,6 Months,"₹ 30,000 - 35,000 /month",296 applicants,1 opportunity posted,N/A,Hiring since May 2025
528,Graveiens Eduservices Private Limited,AI Trainer (Marathi),Work from home,3 Months,"₹ 10,000 - 20,000 /month",246 applicants,535 opportunities posted,20 candidates hired,Hiring since October 2023
529,Graveiens Eduservices Private Limited,AI Trainer (Gujarati),Work from home,3 Months,"₹ 10,000 - 20,000 /month",105 applicants,535 opportunities posted,20 candidates hired,Hiring since October 2023
530,Graveiens Eduservices Private Limited,AI Trainer (Telugu),Work from home,3 Months,"₹ 10,000 - 20,000 /month",340 applicants,535 opportunities posted,20 candidates hired,Hiring since October 2023
531,Graveiens Eduservices Private Limited,AI Trainer (Tamil),Work from home,3 Months,"₹ 10,000 - 20,000 /month",137 applicants,535 opportunities posted,20 candidates hired,Hiring since October 2023
532,Graveiens Eduservices Private Limited,AI Trainer (Urdu),Work from home,3 Months,"₹ 10,000 - 20,000 /month",81 applicants,535 opportunities posted,20 candidates hired,Hiring since October 2023
533,Graveiens Eduservices Private Limited,AI Trainer (Hindi),Work from home,3 Months,"₹ 10,000 - 20,000 /month",759 applicants,535 opportunities posted,20 candidates hired,Hiring since October 2023
537,Buddha Education Association Incorporation,Artificial Intelligence (AI),Work from home,1 Month,"₹ 10,000 /month",1000+ applicants,2123 opportunities posted,13 candidates hired,Hiring since September 2020
540,The Thirsty Crow Marketing Services,Data Entry,"Thane, Mumbai",3 Months,"₹ 7,000 - 8,000 /month",50 applicants,1 opportunity posted,N/A,Hiring since May 2025
542,Infoware,Database Building/Management,Work from home,5 Months,"₹ 5,000 - 7,000 /month",181 applicants,280 opportunities posted,152 candidates hired,Hiring since March 2020
543,Cherag Trader Private Limited,Data Entry,Hyderabad,3 Months,"₹ 18,000 - 26,000 /month",198 applicants,6 opportunities posted,N/A,Hiring since April 2025
544,Cherag Trader Private Limited,Computer Operator,Bangalore                                                    (Hybrid),3 Months,"₹ 18,000 - 26,000 /month",161 applicants,6 opportunities posted,N/A,Hiring since April 2025
545,SHIVAAMI CLOUD SERVICES PRIVATE LIMITED,Database Building/Management,Mumbai,6 Months,"₹ 8,000 - 10,000 /month",49 applicants,2 opportunities posted,N/A,Hiring since February 2025
547,Saifee Burhani Upliftment Trust,Data Entry,Mumbai,6 Months,"₹ 6,000 - 10,000 /month",47 applicants,7 opportunities posted,11 candidates hired,Hiring since February 2024
548,United Way Mumbai,Database Building/Management,Mumbai,6 Months,"₹ 5,000 - 10,000 /month",Be an early applicant,1 opportunity posted,N/A,Hiring since May 2025
549,Sab Infotech Solutions Private Limited,SQL DEVELOPER,Mumbai,6 Months,"₹ 8,000 /month",186 applicants,2 opportunities posted,N/A,Hiring since October 2021
551,ASAR & SONS IMPEX LLP,Computer Operator,Hyderabad                                                    (Hybrid),3 Months,"₹ 18,000 - 25,000 /month",247 applicants,22 opportunities posted,85 candidates hired,Hiring since March 2025
552,Rythukart Private Limited,SQL DEVELOPER,Work from home,1 Month,"₹ 1,000 - 2,000 /month",1000+ applicants,199 opportunities posted,N/A,Hiring since January 2025
553,Exchange4media Group,Database Building/Management,Noida                                                    (Hybrid),3 Months,"₹ 10,000 /month",75 applicants,96 opportunities posted,16 candidates hired,Hiring since July 2017
554,Ubique Brand Care,Data Entry,Lucknow,2 Months,"₹ 2,000 - 6,000 /month",74 applicants,2 opportunities posted,N/A,Hiring since April 2025
555,Pay4Ref,Backend Development,Work from home,2 Months,"₹ 7,000 /month",1000+ applicants,4 opportunities posted,N/A,Hiring since April 2025
556,Anil Parekh & Co,HR And Database Building,Work from home,2 Months,"₹ 7,500 - 15,000 /month",336 applicants,5 opportunities posted,N/A,Hiring since January 2025
557,Apex Style,SQL,Work from home,1 Month,"₹ 1,400 - 2,000 /month",1000+ applicants,99 opportunities posted,3 candidates hired,Hiring since April 2024
558,Apex Style,Database Building/Management,Work from home,1 Month,"₹ 1,500 - 2,500 /month",239 applicants,99 opportunities posted,3 candidates hired,Hiring since April 2024
559,Trustico Realty (SwiftTech Pro Private Limited),CRM Systems & Business Tools,Mumbai,3 Months,"₹ 4,000 - 8,001 /month",Be an early applicant,7 opportunities posted,N/A,Hiring since January 2023
560,Indiascope,Database Building/Management,Delhi,3 Months,"₹ 6,000 - 10,000 /month",77 applicants,3 opportunities posted,N/A,Hiring since December 2024
561,NextEdge Labs,Backend Development,Work from home,6 Months,"₹ 5,000 /month",1000+ applicants,314 opportunities posted,41 candidates hired,Hiring since June 2021
562,Winway Consultancy Services Private Limited,Data Entry,Work from home,3 Months,"₹ 15,000 - 25,000 /month",1000+ applicants,37 opportunities posted,N/A,Hiring since February 2025
563,Emoolar Technology Private Limited,Cyber Security,Work from home,3 Months,"₹ 5,000 - 7,000 /month",316 applicants,94 opportunities posted,15 candidates hired,Hiring since August 2021
564,Aadhvik Technologies,Cyber Security,Work from home,1 Month,"₹ 1,000 - 2,000 /month",156 applicants,522 opportunities posted,5 candidates hired,Hiring since June 2024
565,Talent Corner HR Services,Cybersecurity Analyst,Mumbai,3 Months,"₹ 15,000 lump sum",306 applicants,874 opportunities posted,173 candidates hired,Hiring since March 2020
566,Megaminds IT Services,Cybersecurity And Network Security Research,Work from home,6 Months,"₹ 1,000 - 8,000 /month",610 applicants,312 opportunities posted,83 candidates hired,Hiring since March 2019
567,Priyanka Housing Consultants,Crypto Miners,Delhi,6 Months,"₹ 10,000 - 15,000 /month",37 applicants,41 opportunities posted,2 candidates hired,Hiring since April 2022
568,Kajkarma,Ethical Hacker,Work from home,6 Months,"₹ 5,000 /month",675 applicants,30 opportunities posted,1 candidate hired,Hiring since October 2024
569,Alien Brains Private Limited,Cyber Security,Work from home,3 Months,"₹ 3,000 - 6,000 /month",760 applicants,11 opportunities posted,N/A,Hiring since November 2018
570,Rythukart Private Limited,Cyber Security,Work from home,1 Month,"₹ 1,000 - 2,000 /month",870 applicants,199 opportunities posted,N/A,Hiring since January 2025
571,Fashionista,Office Assistant (Technical Skill Cloud Security),"Faridabad, Delhi, Ghaziabad, Greater Noida, Noida",6 Months,"₹ 6,000 - 15,000 /month",43 applicants,4 opportunities posted,1 candidate hired,Hiring since September 2023
572,Tutedude,Cyber Security Instructor,Work from home,1 Month,"₹ 25,000 /month",710 applicants,446 opportunities posted,135 candidates hired,Hiring since May 2020
573,COSGrid Systems Private Limited,Cloud & DevSecOps,Chennai,3 Months,"₹ 12,000 - 20,000 /month",617 applicants,101 opportunities posted,93 candidates hired,Hiring since May 2017
574,Great Learning,Content Writing,"Gurgaon, Bangalore                                                    (Hybrid)",6 Months,"₹ 15,000 /month",246 applicants,66 opportunities posted,9 candidates hired,Hiring since January 2020
575,Requin Solutions Private Limited,Cyber Security,Jaipur,6 Months,"₹ 10,000 - 12,000 /month",891 applicants,481 opportunities posted,75 candidates hired,Hiring since September 2021
576,Velozity Global Solutions,LLM Engineer,Work from home,6 Months,"₹ 20,000 - 30,000 /month",1000+ applicants,647 opportunities posted,140 candidates hired,Hiring since June 2021
577,ConversAIlabs,Cyber Security,Work from home,3 Months,"₹ 3,000 - 3,001 /month",1000+ applicants,23 opportunities posted,N/A,Hiring since April 2025
578,COSGrid Systems Private Limited,Cyber Security,Chennai,5 Months,"₹ 15,000 - 25,000 /month",1000+ applicants,101 opportunities posted,93 candidates hired,Hiring since May 2017
579,Reliance Jio,Information Security Engineer,Gurgaon,Not Provided,Not provided,Be an early applicant,N/A,N/A,N/A
581,Nobrokerage.com,Video Editing/Making,Pune                                                    (Hybrid),6 Months,"₹ 6,000 - 10,000 /month",103 applicants,36 opportunities posted,3 candidates hired,Hiring since June 2022
582,Madhuri Tetgure,Video Content Creator,Thane,6 Months,"₹ 5,000 - 8,000 /month",Be an early applicant,1 opportunity posted,N/A,Hiring since May 2025
583,QHT Clinic,Photography,Haridwar,6 Months,"₹ 10,000 - 25,000 /month",Be an early applicant,5 opportunities posted,N/A,Hiring since May 2025
584,Cybernaut Business,Video Editing/Making,Work from home,3 Months,"₹ 9,100 - 10,500 /month",Be an early applicant,30 opportunities posted,43 candidates hired,Hiring since November 2020
585,CollegeTips Ed Tech Media Private Limited,Content Creation,Work from home,1 Month,"₹ 10,000 - 25,000 /month",Be an early applicant,552 opportunities posted,17 candidates hired,Hiring since May 2022
586,Techcanvass,Video Editing/Making,Work from home,6 Months,"₹ 10,000 /month",Be an early applicant,148 opportunities posted,30 candidates hired,Hiring since April 2018
587,Ozibook Tech Solutions Private Limited,Video Editing/Making,Work from home,3 Months,"₹ 1,000 /month",97 applicants,487 opportunities posted,106 candidates hired,Hiring since March 2022
588,Anuschka Leather-India Private Limited,Graphic Design,Kolkata                                                    (Hybrid),3 Months,"₹ 6,000 - 7,000 /month",32 applicants,11 opportunities posted,N/A,Hiring since May 2025
589,Rentkar-Switch To Share,Graphic Design,Mumbai,3 Months,"₹ 10,000 - 12,000 /month",26 applicants,1256 opportunities posted,39 candidates hired,Hiring since October 2019
590,Rentkar-Switch To Share,Photography,Mumbai,3 Months,"₹ 10,000 - 12,000 /month",Be an early applicant,1256 opportunities posted,39 candidates hired,Hiring since October 2019
591,UniAcco,Video Editing/Making,Mumbai,3 Months,"₹ 15,000 /month",66 applicants,560 opportunities posted,37 candidates hired,Hiring since May 2020
592,Dolphin Ad World Private Limited,Video Editing/Making,Mumbai,4 Months,"₹ 5,000 - 10,000 /month",36 applicants,335 opportunities posted,30 candidates hired,Hiring since March 2020
593,Alphanumeric Ideas Private Limited,Graphic Design,Mohali,3 Months,"₹ 2,000 - 6,000 /month",Be an early applicant,914 opportunities posted,45 candidates hired,Hiring since January 2020
594,Trade Brains,Motion Graphic Designer,Bangalore,3 Months,"₹ 10,000 - 15,000 /month",Be an early applicant,513 opportunities posted,59 candidates hired,Hiring since March 2018
595,Fashealth Commerce Private Limited,Graphic Design,Mumbai                                                    (Hybrid),3 Months,"₹ 8,000 - 12,000 /month",53 applicants,4 opportunities posted,N/A,Hiring since January 2025
596,Ace Proton Communications & Digital Media Private Limited,Video Editing/Making,Mumbai,6 Months,"₹ 7,000 - 9,000 /month",Be an early applicant,262 opportunities posted,73 candidates hired,Hiring since October 2016
597,NextEdge Labs,Video Editing/Making,"Thane, Navi Mumbai, Mumbai",6 Months,"₹ 5,000 /month",Be an early applicant,314 opportunities posted,41 candidates hired,Hiring since June 2021
598,Jeepkart,Videography,"Chandigarh, Thane, Kalyan, Mumbai",2 Months,"₹ 8,000 - 12,000 /month",42 applicants,98 opportunities posted,12 candidates hired,Hiring since July 2017
599,Shivani Mehta,Videography,Bangalore,6 Months,"₹ 6,000 - 15,000 /month",Be an early applicant,2 opportunities posted,N/A,Hiring since May 2025
601,Knot Just Pictures,Video Editing/Making,"Noida, Gurgaon, Delhi",6 Months,"₹ 8,000 - 12,000 /month",54 applicants,29 opportunities posted,3 candidates hired,Hiring since March 2018
602,Dhamma Setu Creative Technologies,Video Editing/Making,Ghaziabad,6 Months,"₹ 5,000 - 6,000 /month",33 applicants,4 opportunities posted,1 candidate hired,Hiring since February 2025
603,SGMOID,Content-Creation Video,Hyderabad,3 Months,"₹ 5,000 - 10,000 /month",40 applicants,20 opportunities posted,1 candidate hired,Hiring since February 2018
604,Diocles Care Private Limited,Video Editing & 3D-Modelling,Mumbai                                                    (Hybrid),3 Months,"₹ 8,000 - 15,000 /month",30 applicants,2 opportunities posted,N/A,Hiring since April 2025
605,Water Town Swim School,Video Editor,"Delhi, Gurgaon, Noida",4 Months,"₹ 20,000 - 40,000 /month",105 applicants,104 opportunities posted,9 candidates hired,Hiring since April 2017
606,Kkonnect.io,Video Editing/Making,Bangalore,3 Months,"₹ 10,000 - 15,000 /month",29 applicants,9 opportunities posted,5 candidates hired,Hiring since February 2024
607,International Institute Of Data Science & Technology,Social Media Content Creation (Reels & YouTube Specialist),Mumbai,3 Months,"₹ 10,000 - 15,000 /month",107 applicants,10 opportunities posted,N/A,Hiring since November 2024
608,Puzzles Living,Social Media Content Creator (Reels Specialist),Bangalore,2 Months,"₹ 10,100 - 15,200 /month",111 applicants,3 opportunities posted,N/A,Hiring since April 2025
609,RPY News Reporter Priya,Video Editing/Making,Patna                                                    (Hybrid),3 Months,"₹ 2,000 - 10,000 /month",54 applicants,1 opportunity posted,N/A,Hiring since May 2025
610,Logion Solutions,2D/3D Video Animation,Ahmedabad                                                    (Hybrid),4 Months,"₹ 5,000 - 10,000 /month",Be an early applicant,23 opportunities posted,4 candidates hired,Hiring since October 2021
611,Scalar Tech Media Private Limited,Motion Graphics,Mumbai,3 Months,"₹ 8,000 - 15,000 /month",34 applicants,202 opportunities posted,N/A,Hiring since June 2024
612,Rentkar-Switch To Share,Video Editing/Making,Mumbai,6 Months,"₹ 10,000 - 12,000 /month",29 applicants,1256 opportunities posted,39 candidates hired,Hiring since October 2019
613,The Blue Ladder Trust,Library Coordinator,Guwahati,6 Months,"₹ 8,000 - 13,000 /month",27 applicants,9 opportunities posted,N/A,Hiring since October 2021
614,Travel Lykke Private Limited,Video Animation,Jaipur,6 Months,"₹ 10,000 - 12,000 /month",Be an early applicant,17 opportunities posted,5 candidates hired,Hiring since February 2025
615,KathaVersse Media Network Private Limited,Video Editing/Making,Mumbai,3 Months,"₹ 10,000 - 10,001 /month",40 applicants,29 opportunities posted,6 candidates hired,Hiring since November 2023
616,QHT Clinic,Video Editing/Making,"Delhi, Noida, Haridwar                                                    (Hybrid)",6 Months,"₹ 6,000 - 14,000 /month",73 applicants,5 opportunities posted,N/A,Hiring since May 2025
617,Mangostine Technologies Private Limited,Social Media Content Creator,Noida,4 Months,"₹ 7,000 - 10,000 /month",62 applicants,88 opportunities posted,15 candidates hired,Hiring since February 2021
618,Mangostine Technologies Private Limited,Video Editing/Making,Noida,4 Months,"₹ 7,000 - 10,000 /month",63 applicants,88 opportunities posted,15 candidates hired,Hiring since February 2021
619,Experiences.digital,Video Editing/Making,Gurgaon,3 Months,"₹ 2,000 - 5,000 /month",63 applicants,141 opportunities posted,4 candidates hired,Hiring since November 2021
620,Design Attic,Social Media Marketing,Mumbai,6 Months,"₹ 12,000 - 20,000 /month",115 applicants,1 opportunity posted,N/A,Hiring since May 2025
